# chipmunk, between 04/2009 and 10/2009
#
#
# Using GF2   (gf2x, bug corrected, full pre-modcomp, 10/2009)
# p=2, d=101
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
37	0.99884	0.98485	0.49192	0.82787	0.07098	0.15597	128	0.00167	0.00221 # Isogeny not found
41	0.98485	0.98485	0.26496	0.82687	0.06998	0.15697	31	0.00206	0.00219
43	0.98485	0.98585	0.26396	0.82787	0.07098	0.15597	96	0.00218	0.00217
47	0.98485	0.98685	0.26496	0.82787	0.07098	0.15697	85	0.00248	0.00216
53	0.98585	0.98585	0.26396	0.82787	0.07098	0.15697	1	0.004	0.00217
59	0.98485	0.98485	0.26396	0.82687	0.07098	0.15697	115	0.00339	0.00217
61	0.98485	0.98485	0.26495	0.82687	0.07098	0.15597	128	0.00343	0.00228 # Isogeny not found
67	2.69959	2.6616	1.20582	1.89471	0.20396	0.92885	190	0.00439	0.00873
71	2.6626	2.66259	0.60090	1.89471	0.20496	0.92785	106	0.00492	0.00874
73	2.6626	2.66459	0.60190	1.89571	0.20396	0.92885	246	0.00516	0.00874
79	2.6616	2.6666	0.59990	1.89471	0.20496	0.92885	256	0.00584	0.00872 # Isogeny not found
89	2.6636	2.6626	0.60090	1.89371	0.20496	0.92885	120	0.00700	0.00871
101	2.6636	2.66459	0.60190	1.89471	0.20596	0.92685	256	0.00834	0.00872 # Isogeny not found
103	2.6646	2.66659	0.60190	1.89571	0.20396	0.92885	56	0.00853	0.00874
107	2.66459	2.6646	0.60190	1.89371	0.20496	0.92785	83	0.00893	0.00873
113	2.66459	2.6646	0.59990	1.89571	0.20396	0.92885	90	0.00952	0.00871
127	2.6636	2.6626	0.60190	1.89271	0.20396	0.92885	149	0.01090	0.00872
131	7.08192	7.00594	2.92056	4.29835	0.59690	5.52016	413	0.01247	0.03520
137	7.95279	7.94179	1.52977	4.87926	0.67789	6.26205	182	0.01592	0.03980
139	7.94779	7.94579	1.53177	4.87726	0.67689	6.26205	6	0.01716	0.03959
149	7.94579	7.94279	1.53077	4.87526	0.67789	6.25905	512	0.01695	0.03636 # Isogeny not found
151	6.97294	6.97394	1.34479	4.28235	0.59490	5.49916	495	0.01663	0.03503
157	6.98294	6.98594	1.34379	4.28535	0.59491	5.50116	379	0.01757	0.03503
163	6.98194	6.98594	1.3438	4.28335	0.59491	5.50316	104	0.01891	0.03500
173	6.98694	6.98894	1.3438	4.28435	0.59591	5.50016	59	0.02057	0.03501
193	6.98294	6.98194	1.3428	4.28335	0.59890	5.50116	274	0.02313	0.03503
197	7.03993	7.18091	1.38179	4.40433	0.61090	5.64914	97	0.02496	0.03506
199	7.18791	7.18791	1.38379	4.41133	0.61190	5.65414	405	0.02483	0.03514
211	6.97794	6.97994	1.34479	4.27935	0.59491	5.49916	209	0.02636	0.03498
223	6.98094	6.98494	1.3418	4.28435	0.59490	5.50016	187	0.02762	0.03499
227	6.98594	6.98494	1.3448	4.28435	0.59590	5.49916	416	0.02823	0.03501
233	6.97594	6.97594	1.34479	4.28435	0.59391	5.49816	330	0.02900	0.03499
239	6.97894	6.98194	1.3438	4.28435	0.59690	5.50016	178	0.02953	0.03499
241	6.98394	6.97994	1.3438	4.28435	0.59690	5.50016	359	0.02982	0.03500
251	6.98094	6.97794	1.3438	4.28335	0.59490	5.50116	512	0.03092	0.03494 # Isogeny not found
257	18.1162	17.9313	6.95594	9.65053	1.74473	32.779	295	0.03324	0.13987
263	17.9263	17.9273	3.00054	9.66153	1.74374	33.2469	680	0.03776	0.14031
271	17.9383	17.9333	3.00254	9.65253	1.75073	33.179	473	0.04160	0.14062
281	18.1212	18.1292	3.03254	9.75952	1.76173	33.128	896	0.04455	0.14128
283	18.1442	18.1252	3.03054	9.75352	1.76473	33.6319	1024	0.04568	0.14196 # Isogeny not found
307	18.1242	18.1262	3.03354	9.75452	1.76273	33.135	44	0.05194	0.14128
311	18.1822	18.2332	3.05954	9.77251	1.76773	33.2489	70	0.05272	0.14235
313	18.1802	18.1772	3.04154	9.79151	1.78173	33.2599	23	0.05347	0.14179
317	18.1712	18.1812	3.04054	9.79251	1.76773	33.2539	995	0.05385	0.14180
331	18.1862	18.1892	3.04254	9.79351	1.76873	33.2419	615	0.05872	0.14167
337	18.1842	18.1802	3.03854	9.77451	1.77073	33.13	293	0.06012	0.14146
347	18.1652	18.1382	3.03154	9.76152	1.76073	33.4899	731	0.06331	0.142
349	18.1932	18.1502	3.03354	9.8725	1.80373	33.8569	359	0.06389	0.14229
353	18.1382	18.1282	3.03554	9.77152	1.78773	33.8089	270	0.06490	0.14214
359	18.6162	18.1122	3.03254	9.74452	1.76473	33.189	146	0.06581	0.14192
367	18.6822	18.6082	3.11353	10.0145	1.80373	33.8619	287	0.06549	0.14155
379	18.1212	18.1082	3.03154	9.74352	1.75973	33.119	465	0.06712	0.14122
397	18.1052	18.0952	3.02754	9.73852	1.76573	33.105	102	0.07325	0.14117


# zz_p, @rhea (7/10/2010)
# p=2, d=101
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
3	0.28895	0.23496	0.08198	0.10198	0.38394	0.03099	5	0.00499	0.00125
5	0.65690	0.63190	0.20696	0.29095	0.83287	0.14597	5	0.01139	0.00649
7	0.63390	0.63290	0.07698	0.29095	0.83287	0.14597	11	0.01990	0.00619
11	1.69374	1.63675	0.52791	0.79188	1.73574	0.63490	12	0.04366	0.02481
13	1.63775	1.63575	0.19597	0.79387	1.71274	0.62890	14	0.05506	0.02338
17	3.81242	3.69244	1.17682	1.83672	3.20651	2.40363	27	0.08532	0.08733
19	3.69544	3.69244	0.43493	1.84172	3.20251	2.40363	56	0.10471	0.08738
23	3.69144	3.69144	0.43193	1.83172	3.15252	2.37664	25	0.12458	0.08748
29	3.69344	3.69144	0.43293	1.83372	3.15252	2.37864	51	0.17328	0.08746
31	3.69044	3.69244	0.43193	1.83272	3.15152	2.38264	59	0.19214	0.08746
37	9.47356	9.1876	2.89456	4.54131	6.547	10.0365	128	0.26529	0.34738 # Isogeny not found
41	9.1876	9.1906	1.04084	4.52731	6.54201	10.0395	31	0.28640	0.34758
43	9.2266	9.2226	1.04284	4.54831	6.54001	10.0425	96	0.30889	0.34783
47	9.2186	9.2246	1.04384	4.54831	6.54001	10.0435	85	0.34638	0.34780
53	9.2166	9.2186	1.04184	4.53331	6.543	10.0365	1	0.44393	0.35780
59	9.2206	9.2186	1.04184	4.54031	6.548	10.6654	115	0.52020	0.39502
61	10.4614	10.4634	1.18282	5.16222	7.42887	11.3873	128	0.54486	0.39570 # Isogeny not found
67	26.606	25.8841	8.03678	12.4481	15.0787	47.1508	190	0.65814	1.57715
71	24.8102	24.3983	2.6296	11.1533	13.484	42.1566	106	0.64780	1.4071
73	22.9835	23.1985	2.54461	11.3183	13.9909	43.6104	246	0.67137	1.39738
79	22.9815	22.9715	2.47162	11.0253	13.5719	42.2546	256	0.74835	1.40548 # Isogeny not found
89	23.6074	23.6034	2.50662	11.0593	13.6049	42.2926	120	0.85766	1.42076
101	23.0005	22.9595	2.47262	11.0273	13.5969	43.3854	256	0.97004	1.40281 # Isogeny not found
103	22.8345	22.8375	2.45663	10.9933	13.8759	43.2814	56	0.98970	1.40111
107	22.8415	22.8385	2.46063	10.9613	13.5029	42.1596	83	1.03601	1.40305
113	23.1765	23.3924	2.53661	11.2853	13.9329	43.5124	90	1.1017	1.40427
127	22.8395	22.8555	2.46263	11.0203	13.5109	42.9565	149	1.25853	1.39996
131	57.6642	56.1705	17.1284	25.9131	27.2259	172.192	413	1.31691	5.52313
137	55.8895	55.8345	5.66314	25.7841	27.2978	172.807	182	1.51577	5.54092
139	56.4674	55.8475	5.66714	25.8121	27.3228	172.303	6	1.56843	5.52396
149	55.8365	55.9145	5.67814	25.9471	27.6418	175.721	512	1.68508	5.54819 # Isogeny not found
151	56.3734	55.8535	5.66214	25.6991	27.1999	172.275	495	1.70402	5.5295
157	59.7739	59.7629	6.05808	27.5598	29.2226	185.317	379	1.8587	5.7711
163	55.8515	55.8355	5.65114	25.7791	27.2609	172.14	104	1.84111	5.51519
173	55.8685	55.8495	5.65514	25.7451	27.2609	172.157	59	1.9981	5.53378
193	55.8535	55.8545	5.65714	25.7701	27.2669	172.215	274	2.22928	5.52438
197	56.0705	56.0195	5.69114	25.8571	27.5228	173.642	97	2.28321	5.55512
199	56.0685	56.0595	5.68214	25.8301	27.3998	173.894	405	2.31086	5.56714
211	56.3804	56.0975	5.68414	25.8211	27.3788	173.073	209	2.44507	5.54645
223	56.1515	56.1515	5.69513	25.8811	27.6128	174.036	187	2.59935	5.57107
227	56.1455	57.0143	5.85611	26.572	28.8076	175.373	416	2.64572	5.56236
233	57.2223	56.1245	5.71113	25.9611	27.5858	174.017	330	2.72779	5.57062
239	57.4293	57.4583	5.8941	26.343	27.6668	176.723	178	2.78991	5.56365
241	56.4644	56.4294	5.74113	26.141	27.9158	175.873	359	2.81584	5.57163
251	55.9865	55.9665	5.67214	25.7981	27.4608	173.337	512	2.94195	5.56361 # Isogeny not found
257	142.483	139.907	40.8908	60.3268	57.2573	749.784	295	3.02682	22.2581
263	136.883	137.338	13.5539	62.4315	60.7868	740.295	680	3.27052	22.2296
271	137.658	137.29	13.138	60.7768	57.5663	741.751	473	3.61367	22.3157
281	137.212	137.246	13.105	60.7268	60.3998	764.65	896	3.82196	22.3548
283	137.361	137.784	13.191	60.7338	58.3811	743.508	1024	3.85565	22.4556 # Isogeny not found
307	138.051	137.675	13.214	60.8587	58.3211	742.71	44	4.20538	22.5011
311	138.309	138.255	13.262	61.2487	59.351	788.707	70	4.31844	22.5737
313	138.046	140.093	13.132	60.7208	57.8002	746.619	23	4.286	22.4591
317	137.688	137.69	13.153	60.8268	57.5882	753.467	995	4.33765	22.4193
331	137.652	139.088	13.6689	62.7625	57.7362	747.642	615	4.6357	22.4144
337	136.398	136.486	13.01	60.0979	56.9843	726.098	293	4.6824	22.2042
347	136.595	136.723	13.419	62.8015	59.487	741.2	731	4.86558	22.3721
349	137.359	137.472	13.107	60.4948	57.3203	730.677	359	4.93341	22.5798
353	144.969	145.235	13.8659	63.9933	60.3188	772.207	270	5.14483	23.3469
359	139.157	138.529	13.282	61.2387	59.029	750.649	146	5.02637	22.3346
367	137.857	137.807	13.178	61.0377	58.0372	747.573	287	5.12047	22.31
379	138.472	139.821	13.058	60.3418	57.1923	740.035	465	5.30792	22.5088
397	146.278	147.719	14.5798	66.2259	61.2157	809.643	102	5.88229	23.8617


# magma 2.16.11, @rhea (5/11/2010)
# p=2, d=101
#       *[p^k]  Tree    ModExp  Interp  Tries   GCD     ModComp
#
3	0.350	0.010	0.000	0.010	1	0.000	0	
5	2.170	0.040	0.010	0.100	7	0.000	0.002	
7	2.190	0.050	0.010	0.100	8	0.000	0.001	
11	15.240	0.350	0.020	0.800	11	0.002	0.003	
13	15.320	0.350	0.020	0.810	16	0.002	0.004	
17	121.290	2.820	0.050	6.400	25	0.006	0.017	
19	121.700	2.810	0.060	6.370	12	0.008	0.017	
23	121.950	2.820	0.060	6.400	48	0.008	0.019	
29	122.350	2.830	0.060	6.420	33	0.013	0.017	
31	121.310	2.820	0.060	6.400	39	0.013	0.019	
37	1109.90	23.640	0.190	53.490	129	0.033	0.071 # Isogeny not found
41	1109.69	23.700	0.180	53.690	62	0.040	0.070	
43	1117.85	23.680	0.190	54.900	56	0.044	0.073	
47	1119.75	24.430	0.190	53.430	97	0.050	0.070	
53	1115.89	24.380	0.190	55.340	126	0.063	0.073	
59	1112.14	24.340	0.190	55.270	113	0.074	0.073   
61	1136.59	25.340	0.200	57.560	129	0.082	0.074 # Isogeny not found
67	12121.5	277.280	0.600	605.650	223	0.172	0.309	
71	12162.7	282.090	0.610	616.680	39	0.194	0.317	
73	12209.5	283.720	0.610	620.780	25	0.207	0.314	
79	12197.5	277.640	0.600	615.670	257	0.227	0.311 # Isogeny not found
83	12152.3	276.860	0.590	603.720	257	0.245	0.309 # Isogeny not found
89	12103.6	278.450	0.600	609.310	148	0.274	0.310	
97	12081.1	290.870	0.620	637.080	257	0.333	0.321 # Isogeny not found
101	12153.5	276.990	0.590	605.430	257	0.336	0.309 # Isogeny not found
103	12088.5	277.780	0.590	597.300	208	0.339	0.306	
107	12005.0	275.840	0.600	599.750	251	0.352	0.306	
109	11902.7	274.200	0.600	597.190	257	0.356	0.307 # Isogeny not found
113	11977.3	274.350	0.600	606.330	250	0.369	0.306	
127	12762.1	291.720	0.630	657.470	242	0.443	0.329	
131	104637	2284.10	1.850	5191.85	275	0.826	1.379	
137	104747	2628.73	2.110	5937.56	273	0.967	1.558	
139	116984	2322.77	1.870	5248.03	327	0.880	1.390	
149	114307	2597.71	2.200	5949.19	513	1.095	1.607 # Isogeny not found
151	110903	2355.42	1.900	5332.63	423	0.973	1.404	
157	108458	2312.16	1.860	5186.61	26	0.965	1.370	
163	103740	2340.80	1.850	5156.12	493	1.001	1.368	
167	110398	2630.51	2.120	5314.11	513	1.056	1.400 # Isogeny not found
173	103794	2237.36	1.770	5093.36	400	1.019	1.308	
179	100110	2178.67	1.780	5088.03	513	1.059	1.315 # Isogeny not found
191	99957.5	2186.07	1.780	5096.75	513	1.148	1.316 # Isogeny not found
193	100756	2228.45	1.780	5080.11	296	1.217	1.372
197	104579	2330.51	1.850	5163.50	231	1.245	1.374
199	105049	2308.31	1.870	5260.62	276	1.395	1.455
199	105049	2308.31	1.870	5260.62	276	1.395	1.455	
211	105235	2342.90	1.870	5280.48	216	1.359	1.371	
223	104976	2381.83	1.980	5288.72	152	1.466	1.374
227	102975	2211.31	1.850	5054.68	276	1.432	1.316	
229	100355	2206.38	1.780	5002.45	513	1.453	1.323	# Isogeny not found
233	99458.8	2202.11	1.790	4962.20	71	1.488	1.320	
239	101140	2207.84	1.950	5402.33	12	1.671	1.445	
241	98891.5	2178.30	1.780	4923.95	145	1.542	1.312	
251	99468.2	2201.61	1.790	4961.66	513	1.630	1.321	# Isogeny not found


# zz_p, @rhea (12/10/2010)
# p=3, d=64
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
2	0.14897	0.12998	0.04399	0.09098	0.24796	0.02099	9	0.00099	0.00099 # Isogeny not found
5	0.65689	0.61490	0.22696	0.48792	0.82687	0.22196	18	0.00499	0.00758
7	0.61590	0.61590	0.12798	0.48492	0.82087	0.21696	22	0.00858	0.00742
11	0.60190	0.60190	0.12498	0.47692	0.80887	0.21696	20	0.01919	0.00731
13	2.50162	2.36464	0.86386	2.13768	2.95055	2.52162	9	0.02666	0.06548
17	2.36764	2.36664	0.51792	2.14167	2.95255	2.52162	31	0.04254	0.06515
19	2.36964	2.36864	0.51892	2.14068	2.95555	2.52062	73	0.05223	0.06578
23	2.36564	2.36564	0.51692	2.14667	2.95355	2.52262	72	0.06218	0.06507
29	2.36564	2.36764	0.51792	2.14468	2.95855	2.52761	30	0.09335	0.06502
31	2.37064	2.36964	0.51892	2.14467	2.96155	2.52662	49	0.10251	0.06530
37	2.37064	2.37064	0.51792	2.14067	2.95955	2.52662	23	0.13889	0.06535
41	10.3744	9.8725	3.77343	8.76767	7.48286	19.3281	25	0.15053	0.58461
43	9.8565	9.8715	2.10268	8.75067	7.45587	19.2671	169	0.15670	0.59358
47	9.8575	9.8655	2.10468	8.76167	7.45987	19.2941	120	0.17380	0.59134
53	9.8515	9.8445	2.10168	8.78266	7.47087	19.503	243	0.21825	0.58700 # Isogeny not found
59	9.8455	9.8545	2.10468	8.78766	7.48786	19.3421	216	0.25477	0.58649
61	9.8545	9.8475	2.10568	8.78167	7.49286	19.3241	243	0.26816	0.59216 # Isogeny not found
67	9.8485	9.8465	2.10568	8.75967	7.48686	19.3341	108	0.31350	0.58304
71	9.8535	9.8745	2.10868	8.79866	7.47486	19.3291	170	0.34057	0.58559
73	9.8795	9.8815	2.10068	8.74067	7.47486	19.2901	42	0.35420	0.58627
79	9.8505	9.8445	2.09768	8.75067	7.47386	19.3171	71	0.39115	0.58909
83	9.8715	9.8755	2.10668	8.79966	7.46787	19.2671	155	0.39275	0.62012
89	9.8825	9.8765	2.10368	8.77267	7.47686	19.3121	231	0.41993	0.58434
97	9.8535	9.8525	2.09768	8.77666	7.49086	19.3301	127	0.46197	0.58693
101	10.0185	10.0185	2.14467	8.93064	7.60984	19.651	183	0.48057	0.58626
103	10.0375	10.0165	2.14267	8.92764	7.60884	19.564	129	0.48615	0.58236
107	9.81251	9.82551	2.10068	8.76067	7.47186	19.3211	240	0.57693	0.58812
109	10.0315	10.0425	2.14667	8.92464	7.65784	19.795	92	0.58891	0.57936
113	9.8845	9.98048	2.13168	8.88165	7.59385	19.626	20	0.63140	0.59191
127	41.4057	38.6301	14.3378	34.5228	27.8888	220.235	106	0.69747	5.23461
131	41.1867	41.1947	8.60269	36.5484	28.3327	230.29	729	0.76239	5.22462 # Isogeny not found
137	38.4532	38.4352	8.01878	34.1288	26.7719	218.441	729	0.81742	5.21791 # Isogeny not found
139	38.4612	38.4832	8.00878	33.9818	26.471	215.474	729	0.83188	5.18588 # Isogeny not found
149	38.4792	38.4062	8.00478	33.8359	26.52	219.4	110	0.89945	5.19098
151	38.4562	38.4362	8.00578	33.9428	26.469	214.199	729	0.90832	5.20837 # Isogeny not found
157	38.4382	38.4402	7.98979	33.8629	26.488	214.271	729	0.95759	5.215 # Isogeny not found
163	38.8381	38.8701	8.09177	34.4438	27.4628	221.138	117	0.97787	5.2461
167	38.6751	38.6691	8.07377	34.3878	26.498	214.623	729	0.98163	5.22522 # Isogeny not found
179	38.6581	38.6951	8.15876	35.1187	27.4588	219.929	729	1.04547	5.30705 # Isogeny not found
181	39.342	38.8111	8.13476	34.4868	26.9289	216.212	548	1.05616	5.21548
191	38.7991	38.8431	8.27574	36.3605	28.0957	227.471	513	1.17585	5.58174
193	42.4196	42.5295	9.01563	37.3123	28.3537	232.068	422	1.11963	5.23073
197	38.6811	38.6411	8.08777	34.2258	26.9249	217.252	150	1.13953	5.22416
199	38.6531	38.6131	8.04878	34.3008	26.7829	217.244	49	1.15258	5.19561
211	38.6201	38.6101	8.06777	34.2358	26.7899	217.34	729	1.365	5.19806 # Isogeny not found
223	38.6531	38.6471	8.05778	34.2768	26.7919	217.076	729	1.50112	5.21397 # Isogeny not found
227	38.6381	38.5611	7.98479	33.9648	26.549	215.602	240	1.52368	5.21663
229	38.5841	38.6021	8.05278	34.1548	26.531	215.23	729	1.53628	5.1994 # Isogeny not found
233	41.1997	38.6011	8.06077	34.1938	26.614	215.4	470	1.56123	5.22463
239	38.4672	38.5571	8.05978	34.2508	26.599	221.277	281	1.59652	5.22937
241	38.5431	38.4172	7.97679	34.0128	26.637	215.095	729	1.61914	5.24151	# Isogeny not found
251	38.8171	39.0131	8.07477	34.3748	26.9429	218.06	680	1.6978	5.28121
257	39.458	39.434	8.30174	34.9907	27.9428	225.64	159	1.74567	5.30555
263	38.9611	38.9321	8.06477	34.2418	26.8799	217.526	589	1.90916	5.29148
269	39.0251	39.0311	8.16376	34.5318	26.8119	216.878	54	1.96607	5.24317
271	39.0591	39.0171	8.15276	34.3098	26.8179	216.813	355	1.97945	5.25597
277	38.9091	38.9971	8.15776	34.4358	27.1289	219.022	340	2.03148	5.25027
281	38.9901	38.9431	8.13876	34.2918	26.9799	218.17	729	2.06923	5.27866	# Isogeny not found
283	39.386	39.676	8.42972	35.4566	27.9338	218.328	206	2.08236	5.26022
293	38.9701	38.9681	8.13576	34.3148	26.9069	217.399	706	2.15842	5.28195
307	38.9741	39.0091	8.14576	34.3668	26.9519	217.855	729	2.2624	5.28303	# Isogeny not found
313	38.9821	39.239	8.37673	35.1737	28.3677	219.156	620	2.30663	5.27923
317	38.9261	38.9661	8.11977	34.4558	26.7349	219.549	729	2.33953	5.26761	# Isogeny not found
331	39.0071	38.9451	8.07377	34.2068	26.9599	225.861	34	2.39734	5.30016
337	38.9861	38.9871	8.13876	34.3448	26.9329	221.112	513	2.39932	5.39062
347	39.495	38.9121	8.12976	34.3788	26.8679	224.553	409	2.45154	5.26478
349	39.0631	38.9981	8.16376	34.3888	26.8299	216.961	679	2.47527	5.27194
359	39.1301	39.1021	8.32773	34.7697	27.3198	221.408	120	2.53686	5.30923
367	166.343	159.056	57.3893	132.93	107.56	2740.95	654	2.56083	47.3451
373	159.011	159.362	30.3594	132.148	107.16	2726.69	2187	2.58502	47.2304	# Isogeny not found
379	157.386	157.149	29.8415	131.038	105.598	2675.46	740	2.60255	46.7764
383	157.852	157.683	30.2834	132.371	110.721	2823.39	1882	2.63439	47.0519
389	157.518	157.61	30.0584	131.081	105.828	2675.57	2001	2.6644	46.8076
397	157.525	157.094	30.0204	131.673	106.014	2676.09	2187	2.71657	46.803	# Isogeny not found


# gf2x, @rhea (5/10/2010)
# p=2, d=1023
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
3	0.30995	0.22696	0.11898	0.24796	0.11198	0.001	4	0.00075	0
5	0.75588	0.73688	0.37594	0.63690	0.46492	0.00899	8	0.00099	0.00028
7	0.73788	0.73788	0.20996	0.63790	0.46492	0.00899	14	0.00128	0.00053
11	2.31565	2.26966	1.04384	1.55976	0.87486	0.04599	4	0.00249	0.00199
13	2.27265	2.26966	0.51092	1.55976	0.87686	0.04599	17	0.00335	0.00181
17	6.79797	6.70198	2.81157	3.73043	2.6176	0.28295	13	0.00492	0.00758
19	6.72698	6.74497	1.21581	3.75043	2.6316	0.28495	21	0.00599	0.00749
23	6.76097	6.75397	1.21582	3.75843	2.6346	0.28695	28	0.00810	0.00751
29	6.73497	6.73598	1.21482	3.75343	2.6226	0.28395	1	0.01299	0.00751
31	6.72998	6.72598	1.21282	3.75143	2.6146	0.28395	13	0.01322	0.00749
37	19.2981	19.0561	7.39088	8.83466	7.80081	1.71674	128	0.01752	0.03047	# Isogeny not found
41	19.0491	19.0961	2.84057	8.87665	7.84081	1.72474	62	0.02123	0.03047
43	19.1431	19.1311	2.83657	8.87065	7.83081	1.71574	128	0.02257	0.03033	# Isogeny not found
47	19.0581	19.0381	2.82457	8.82166	7.79781	1.71674	84	0.02561	0.03022
53	19.1001	19.0871	2.83857	8.84665	7.79982	1.71474	63	0.03056	0.03030
59	19.0441	19.0391	2.82757	8.83966	7.81081	1.72374	117	0.03549	0.03046
61	19.1651	19.1461	2.83957	8.88065	7.83081	1.72274	5	0.03799	0.03049
67	53.6078	53.1949	19.1451	20.7358	23.6004	10.3664	104	0.04613	0.12232
71	53.0419	53.0639	6.53701	20.6539	23.5994	10.3674	256	0.05154	0.12236
73	53.0729	53.0499	6.54001	20.6999	23.6034	10.3684	256	0.05442	0.12210	# Isogeny not found
79	52.818	52.889	6.53401	20.6249	23.5134	10.3274	46	0.06179	0.12164
83	53.0259	53.0179	6.53501	20.6549	23.6004	10.3664	105	0.06738	0.12267
89	53.0539	53.0159	6.52701	20.6669	23.5954	10.3634	63	0.07417	0.12193
101	52.9929	53.0009	6.52801	20.6459	23.6044	10.3644	46	0.08811	0.12220
103	53.0149	53.0659	6.53701	20.6669	23.6174	10.3594	82	0.08987	0.12236
107	53.0149	53.0299	6.52601	20.6699	23.6104	10.3774	256	0.09434	0.12314	# Isogeny not found
109	53.2909	53.3019	6.567	20.7668	23.7034	10.3984	256	0.09658	0.12292	# Isogeny not found
113	55.2956	55.9595	6.88795	21.8037	24.9332	10.9433	183	0.10600	0.12938
127	55.9785	55.9955	6.86796	21.8187	24.9142	10.9433	217	0.12181	0.12951
131	146.976	145.767	48.3077	50.2704	74.0677	66.018	355	0.13815	0.51824
137	145.14	145.258	15.5966	50.1064	73.7008	65.808	504	0.15660	0.52002
139	137.684	136.687	14.6828	47.1628	69.4964	61.9716	227	0.15099	0.48534
149	146.896	148.482	15.7526	50.6133	74.3297	66.3849	446	0.18657	0.52293
151	146.445	146.435	15.7376	50.8643	76.1434	66.8998	40	0.18952	0.52135
157	147.472	147.502	15.7356	50.5853	74.5267	66.3769	498	0.20140	0.52193
163	137.867	138.278	14.7388	47.3448	69.6014	62.1865	512	0.19984	0.48731	# Isogeny not found
167	137.178	137.184	14.7398	47.4248	69.6954	62.2215	393	0.20738	0.48802
173	137.224	137.183	14.7438	47.3538	69.8164	62.1596	285	0.21870	0.48822
179	137.731	137.538	14.7628	47.4928	69.8064	62.3375	233	0.22685	0.48964
181	137.336	137.222	14.7308	47.3188	69.7104	62.1575	395	0.22890	0.48792
191	137.319	137.236	14.7448	47.3538	69.7024	62.1546	512	0.24044	0.48738	# Isogeny not found
193	137.192	137.362	14.7388	47.3158	69.6134	62.1745	95	0.24624	0.48824
197	137.175	137.133	14.7258	47.2938	69.6544	62.2645	411	0.25521	0.48648
199	137.139	137.125	14.7368	47.3188	69.6064	62.1715	313	0.25830	0.48727
211	136.771	136.868	14.6978	47.2088	69.3475	62.0336	244	0.27735	0.48631
223	137.493	138.487	14.7368	47.2938	69.8114	63.3244	346	0.29348	0.48817
229	137.755	138.432	14.7698	47.3938	69.8134	62.3645	264	0.30263	0.48748
233	137.293	137.133	14.7458	47.3378	69.5834	62.1895	490	0.30910	0.48857
239	137.203	138.736	14.8517	47.3108	69.7034	62.1865	512	0.31391	0.48760	# Isogeny not found
241	137.153	137.151	14.7428	47.3278	69.6554	62.1636	484	0.31684	0.48717
251	137.157	137.094	14.7208	47.2888	69.6064	62.1386	389	0.33026	0.48775
257	341.013	337.164	104.357	107.963	211.05	373.776	510	0.35377	1.95346
269	337.515	338.891	33.035	107.937	208.294	373.11	44	0.42623	1.95035
271	337.091	337.012	33.048	108.785	210.121	373.84	1020	0.42987	1.95129
277	338.064	339.051	33.3009	108.663	209.805	375.685	612	0.47490	2.01434
281	335.671	335.68	32.947	107.545	207.652	371.695	491	0.46892	1.94615
283	335.469	335.47	32.925	107.556	207.583	371.927	24	0.47901	1.94397
293	335.683	335.543	32.956	107.613	207.928	371.807	273	0.51162	1.94842
307	335.154	335.341	32.894	107.483	207.469	371.447	308	0.55059	1.94292
311	335.698	335.654	32.911	107.508	207.56	374.505	1024	0.56620	1.95568	# Isogeny not found
313	335.651	335.891	33.6639	109.275	208.364	373.537	308	0.57409	1.96651
317	339.92	339.57	33.3129	108.904	210.401	376.23	841	0.57789	1.95361
337	337.219	337.151	33.091	107.993	209.384	377.638	1024	0.64673	1.96908	# Isogeny not found
347	339.18	339.643	33.103	107.95	211.394	374.077	518	0.66608	1.94326
349	340.105	337.728	33.089	108.043	208.761	373.202	391	0.66842	1.9567
359	342.079	337.532	33.069	107.981	209.265	380.898	663	0.68994	1.95288
367	336.712	336.428	33.048	108.008	212.728	396.885	212	0.74913	2.08303
373	360.213	360.057	35.3116	115.4	223.021	399.541	123	0.76311	2.08718
379	360.025	360.135	35.3186	115.355	222.884	399.27	388	0.77129	2.08447
383	360.227	360.082	35.3086	115.343	222.886	399.152	563	0.77481	2.08033
389	359.904	359.76	35.3206	115.335	222.831	399.089	1024	0.80542	2.08403	# Isogeny not found
397	359.912	360.084	35.3146	115.262	223.022	399.222	790	0.79587	1.98475


# zz_p, @rhea (11/11/2010)
# p=3, d=650
#
l	E[p^k]	F[p^k]	Tree	Interp	ModExp	PreModC	Tries	GCD	ModComp
5	44.4062	38.1192	9.59354	5.48217	135.39	3.42848	8	0.12210	0.25139
7	38.1672	38.1922	1.39979	5.50316	135.625	3.43948	16	0.20234	0.25082
11	38.2942	38.3512	1.40579	5.51016	136.088	3.46347	11	0.42257	0.25276
13	170.22	167.972	43.3904	26.7159	395.86	29.8865	29	0.56319	2.26891
17	166.501	166.053	6.41502	26.316	389.979	29.7675	43	0.89716	2.26497
